"Time","Location ID","Soil Type","Analyte ID","Species ID","Result Type","Units","Minimum","5th Percentile","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","95th Percentile","Maximum","Mean","Standard Deviation"
2012,"QRD2-1","NONE","As","SWAT","CONCEN","ug/L", 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 4.00000E-01, 0.00000E+00
2012,"QRD2-1","NONE","As","SEDI","CONCEN","ug/kg", 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 3.00000E+03, 0.00000E+00
2012,"QRD2-1","NONE","As","PWAT","CONCEN","ug/L", 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 0.00000E+00
2012,"QRD2-1","NONE","As","BSHRMP","BURDEN","ug/kg dry", 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 6.46532E+02, 0.00000E+00
2012,"QRD2-1","NONE","As","OCTOPI","BURDEN","ug/kg dry", 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 3.51197E+01, 0.00000E+00
2012,"QRD2-1","NONE","Hg","SWAT","CONCEN","ug/L", 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 4.20000E-02, 0.00000E+00
2012,"QRD2-1","NONE","Hg","SEDI","CONCEN","ug/kg", 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 9.00000E+03, 0.00000E+00
2012,"QRD2-1","NONE","Hg","PWAT","CONCEN","ug/L", 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 7.00000E-01, 0.00000E+00
2012,"QRD2-1","NONE","Hg","BSHRMP","BURDEN","ug/kg dry", 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 2.37114E+03, 0.00000E+00
2012,"QRD2-1","NONE","Hg","OCTOPI","BURDEN","ug/kg dry", 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 3.22560E+02, 0.00000E+00
2012,"QRD2-1","NONE","Zn","SWAT","CONCEN","ug/L", 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 8.82000E-02, 0.00000E+00
2012,"QRD2-1","NONE","Zn","SEDI","CONCEN","ug/kg", 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 1.89000E+04, 0.00000E+00
2012,"QRD2-1","NONE","Zn","PWAT","CONCEN","ug/L", 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 1.47000E+00, 0.00000E+00
2012,"QRD2-1","NONE","Zn","BSHRMP","BURDEN","ug/kg dry", 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 9.78885E+02, 0.00000E+00
2012,"QRD2-1","NONE","Zn","OCTOPI","BURDEN","ug/kg dry", 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 1.06566E+03, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","AIRC","CONCEN","ug/m^3", 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 1.00000E-03, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","AIRD","CONCEN","ug/m^2/yr", 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","GWAT","CONCEN","ug/L", 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 3.10000E-04, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","SWAT","CONCEN","ug/L", 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 1.10000E-04, 0.00000E+00
